firstName,total,female,male,prFemale
Ann-Gerd,2,2,0,1.0
Awaz,15,7,8,0.4666666666666667
Ratana,3,3,0,1.0
Sven-Bertil,8,0,8,0.0
Helge,34,0,34,0.0
Abdullah,1,0,1,0.0
Lars-Gunnar,120,0,120,0.0
Eleanore,2,2,0,1.0
Luis,76,0,76,0.0
Wailet,8,8,0,1.0
Mona-Lis,2,2,0,1.0
Anna-Kerstin,10,10,0,1.0
Ingwer,4,0,4,0.0
Styrbjörn,9,0,9,0.0
Katina,6,6,0,1.0
Clair,2,2,0,1.0
Orit,9,9,0,1.0
Heiti,9,0,9,0.0
Irené,1,1,0,1.0
Danne,29,0,29,0.0
Darko,4,0,4,0.0
Aghbal,2,0,2,0.0
Nurten,2,2,0,1.0
Alexandre,1,0,1,0.0
Chatrine,14,14,0,1.0
Isac,7,0,7,0.0
Majlis,7,7,0,1.0
Cia,27,27,0,1.0
Heinz,38,0,38,0.0
Ann-Chatrine,11,11,0,1.0
Lorentz,8,0,8,0.0
Mahira,1,1,0,1.0
Asta,23,23,0,1.0
Pinar,9,9,0,1.0
Anton,124,0,124,0.0
Jaak,3,0,3,0.0
Karl-Gerhard,1,0,1,0.0
Jessie,2,2,0,1.0
Elie,1,0,1,0.0
Per-Håkan,1,0,1,0.0
Wanda,2,2,0,1.0
Gretel,6,6,0,1.0
João,1,0,1,0.0
Annemari,6,6,0,1.0
Carl-Fredrik,9,0,9,0.0
Ciri,3,3,0,1.0
Wilhelmina,2,2,0,1.0
Gertrud,81,81,0,1.0
Kira,1,1,0,1.0
Neele,3,3,0,1.0
Ronald,49,0,49,0.0
Hannah-Karin,4,4,0,1.0
Pehr,22,0,22,0.0
Lydia,20,20,0,1.0
Lewi,2,0,2,0.0
Manu,1,1,0,1.0
Simone,42,42,0,1.0
Sven-Eric,12,0,12,0.0
Nic,6,0,6,0.0
Gunlög,19,19,0,1.0
Hans-Inge,11,0,11,0.0
Eimer,2,0,2,0.0
Johny,14,0,14,0.0
Carl-Thure,2,0,2,0.0
Kanya,1,1,0,1.0
Gunillahelen,2,2,0,1.0
John-Ivan,1,0,1,0.0
Åse-Lill,9,9,0,1.0
Ewabritt,16,16,0,1.0
Sholeh,1,1,0,1.0
Sacir,1,0,1,0.0
Lolo,5,5,0,1.0
Gun-Marie,15,15,0,1.0
Ann-Lois,2,2,0,1.0
Sven-Gustaf,2,0,2,0.0
Daniele,6,0,6,0.0
Lirije,2,2,0,1.0
Urban,236,0,236,0.0
Oxana,1,1,0,1.0
Maino,3,3,0,1.0
Riitta,10,10,0,1.0
Bojan,45,2,43,0.044444444444444446
Klern,1,0,1,0.0
Mickaéla,1,1,0,1.0
Zara-Li,2,2,0,1.0
Arash,7,0,7,0.0
Karl-Allan,3,0,3,0.0
Maiken,1,1,0,1.0
Ann-sofie,1,1,0,1.0
Aneesa,6,6,0,1.0
Muhammad,3,0,3,0.0
Gulli,6,6,0,1.0
Claes-Urban,3,0,3,0.0
Borghild-Marianne,1,1,0,1.0
Helen,157,157,0,1.0
Mary-Anne,1,1,0,1.0
Zofia,8,8,0,1.0
Botolf,1,0,1,0.0
Annecharlotte,1,1,0,1.0
Birgit,348,348,0,1.0
Anna-Britta,7,7,0,1.0
Lene,10,10,0,1.0
Avni,7,0,7,0.0
Markku,24,0,24,0.0
Lorenzo,2,0,2,0.0
Bjarne,50,0,50,0.0
Alaettin,1,0,1,0.0
Kawa,5,0,5,0.0
Inga-Lisa,13,13,0,1.0
Benedict,6,0,6,0.0
Spyridon,1,0,1,0.0
Torleif,7,0,7,0.0
Filip,60,0,60,0.0
Nils-Ola,3,0,3,0.0
Céline,3,3,0,1.0
Pedro,4,0,4,0.0
Märtha,24,24,0,1.0
Sarita,4,4,0,1.0
Mashhood,2,0,2,0.0
Annelill,3,3,0,1.0
Sinikka,10,10,0,1.0
Elwing,2,0,2,0.0
Dmitar,1,0,1,0.0
Baki,2,0,2,0.0
Jukka,2,0,2,0.0
Torbjörn,490,0,490,0.0
Matthias,14,0,14,0.0
Benny,244,5,239,0.020491803278688523
Sanne,1,1,0,1.0
Trude,1,1,0,1.0
Hiba,2,2,0,1.0
Samuel,203,0,203,0.0
Annette,143,143,0,1.0
Mostafa,2,0,2,0.0
Walla,3,3,0,1.0
Basil,2,0,2,0.0
Joa,2,0,2,0.0
Rauli,2,0,2,0.0
Mirjana,6,6,0,1.0
Ronni,1,0,1,0.0
Hanne,24,23,1,0.9583333333333334
Jan-Willy,3,0,3,0.0
Esso,2,0,2,0.0
Satu,2,2,0,1.0
Carl-Eric,34,0,34,0.0
Tuulikki,1,1,0,1.0
Iscah,2,2,0,1.0
Ludmila,7,7,0,1.0
Ginna,1,1,0,1.0
Chaker,1,0,1,0.0
Azizullah,1,0,1,0.0
Margoth,34,34,0,1.0
Jeanne,6,6,0,1.0
Kaija,2,2,0,1.0
Lena,1628,1628,0,1.0
Astrid-Marie,7,7,0,1.0
Winston,13,0,13,0.0
Christopher,252,0,252,0.0
Ronny,203,0,203,0.0
Cevdet,25,0,25,0.0
Nancy,7,7,0,1.0
Arin,6,0,6,0.0
Liebert,1,0,1,0.0
Yuehua,2,2,0,1.0
Tomi,6,0,6,0.0
Shadiye,1,1,0,1.0
Merry,1,1,0,1.0
Janeth,6,6,0,1.0
Sigge,5,0,5,0.0
Eddy,3,0,3,0.0
Thore,44,0,44,0.0
Olof,305,9,296,0.029508196721311476
John-Erik,26,0,26,0.0
Börge,6,0,6,0.0
Pascale,4,4,0,1.0
Lars-Erik,364,0,364,0.0
Sangar,2,0,2,0.0
Myriam,2,2,0,1.0
Mari-Louise,4,4,0,1.0
Damir,2,0,2,0.0
Stigert,9,0,9,0.0
Emy,2,2,0,1.0
Ing,6,6,0,1.0
Gejbert,1,0,1,0.0
Lissy,14,14,0,1.0
Ulrik,52,0,52,0.0
Karl-Arne,3,0,3,0.0
Christofer,7,0,7,0.0
Steven,3,0,3,0.0
Mait,2,2,0,1.0
Parvaneh,13,13,0,1.0
Fredrik,1510,0,1510,0.0
Chatarina,13,13,0,1.0
Mauno,22,0,22,0.0
Wäinö,1,0,1,0.0
Luke,12,0,12,0.0
Homayon,12,0,12,0.0
Javier,4,0,4,0.0
Inna,3,3,0,1.0
Hans-Erik,47,0,47,0.0
Jackie,16,1,15,0.0625
Roza,1,1,0,1.0
Leif-Erik,2,0,2,0.0
Augosto,1,0,1,0.0
Gabriel,96,0,96,0.0
Wiveka,3,3,0,1.0
Loman,1,1,0,1.0
Zitha,1,1,0,1.0
Jelena,9,9,0,1.0
Borghild,1,1,0,1.0
Refika,7,7,0,1.0
Chamoun,1,0,1,0.0
Shqiprim,1,0,1,0.0
Tarik,1,0,1,0.0
André,57,0,57,0.0
Zewdu,1,0,1,0.0
Shawki,3,0,3,0.0
Adrienne,2,2,0,1.0
Disa,40,40,0,1.0
Wera,8,8,0,1.0
Hardy,54,0,54,0.0
Jerzy,7,0,7,0.0
Laine,2,2,0,1.0
Isaac,1,0,1,0.0
Dicka,8,8,0,1.0
Viktorija,2,2,0,1.0
Olavi,9,0,9,0.0
Hilding,1,0,1,0.0
Jerry,78,0,78,0.0
Albin,13,0,13,0.0
Laila,271,271,0,1.0
Ann-Sofi,200,200,0,1.0
Agnita,2,2,0,1.0
Nada,9,9,0,1.0
Elwe,1,0,1,0.0
Mahmoud,29,0,29,0.0
Torolf,5,0,5,0.0
Sotiris,12,0,12,0.0
Carl-Ewert,6,0,6,0.0
Hans-Ove,22,0,22,0.0
Gustavo,9,0,9,0.0
Julius,4,0,4,0.0
Per-Göran,22,0,22,0.0
Maseullah,14,0,14,0.0
Rafael,7,0,7,0.0
Sylva,3,3,0,1.0
Draginja,27,27,0,1.0
Asmir,2,0,2,0.0
Rahma,6,6,0,1.0
Artturi,5,0,5,0.0
Chamilla,1,1,0,1.0
Sigbritt,51,51,0,1.0
Aliz,1,1,0,1.0
Mark,50,0,50,0.0
John-Eric,1,0,1,0.0
Liljana,1,1,0,1.0
Ingvor,16,16,0,1.0
Margareth,3,3,0,1.0
Ernst,8,0,8,0.0
Yan,8,0,8,0.0
Anna-Grethe,2,2,0,1.0
Evelyn,6,6,0,1.0
Febe,5,5,0,1.0
Zozan,9,9,0,1.0
Bengt-Erik,18,0,18,0.0
Catrin,127,127,0,1.0
Macarena,1,1,0,1.0
Ninel,3,3,0,1.0
Atea,7,7,0,1.0
Sharon,1,1,0,1.0
Madlén,6,6,0,1.0
Martin,955,0,955,0.0
Eirik,7,0,7,0.0
Shamsedin,24,0,24,0.0
Stephanie,40,40,0,1.0
Renate,16,16,0,1.0
Sara-Lena,40,40,0,1.0
Janeric,10,0,10,0.0
Fuat,2,0,2,0.0
Maivi,1,1,0,1.0
Sanija,2,2,0,1.0
Mirsada,1,1,0,1.0
Mimmi,52,52,0,1.0
Tahmoures,6,0,6,0.0
Hans-Christer,9,0,9,0.0
Thorgny,3,0,3,0.0
Jomark,6,0,6,0.0
Predrag,2,0,2,0.0
Fanny,46,46,0,1.0
Inger-Lise,3,3,0,1.0
Aestan,2,0,2,0.0
Behnaz,9,9,0,1.0
Gustav,298,0,298,0.0
Anne-Grethe,1,1,0,1.0
Eshag,4,0,4,0.0
Dannie,1,0,1,0.0
Wasim,2,0,2,0.0
Margareetta,6,6,0,1.0
Lilliana,8,8,0,1.0
Jens-Mikael,6,0,6,0.0
May-Louise,1,1,0,1.0
Togge,42,0,42,0.0
Dina,8,8,0,1.0
Behice,6,6,0,1.0
Tiia,2,2,0,1.0
Lili,13,13,0,1.0
Heine,2,0,2,0.0
Tengo,14,0,14,0.0
Carlos,63,0,63,0.0
Ann-Sophie,10,10,0,1.0
Matte,1,0,1,0.0
PeO,1,0,1,0.0
Inga-Maj,41,41,0,1.0
Ulla-Britt,139,139,0,1.0
Kurt-Roland,1,0,1,0.0
Steen,10,0,10,0.0
Rosita,18,18,0,1.0
Sofi,12,12,0,1.0
Laurice,4,4,0,1.0
Benkt,4,0,4,0.0
Aqba,3,0,3,0.0
Akko,39,39,0,1.0
Zelotinka,1,1,0,1.0
Tyko,5,0,5,0.0
Hamdi,3,0,3,0.0
Alve,8,0,8,0.0
Zoran,10,0,10,0.0
Jösta,3,0,3,0.0
Butsarin,1,1,0,1.0
Rosemari,1,1,0,1.0
Christl,1,1,0,1.0
Sargon,2,0,2,0.0
Maija-Liisa,2,2,0,1.0
Åsa,1060,1060,0,1.0
Vuokko,2,2,0,1.0
Naim,18,0,18,0.0
Manora,16,16,0,1.0
Issam,5,0,5,0.0
Pajand,8,0,8,0.0
Myra,26,26,0,1.0
Reza,26,0,26,0.0
Marina,148,148,0,1.0
Teo,5,5,0,1.0
Kersti,20,20,0,1.0
Maibritt,1,1,0,1.0
Per-Magnus,9,0,9,0.0
Ronja,13,13,0,1.0
Victor-Hugo,2,0,2,0.0
Tolu,7,0,7,0.0
Hossein,7,0,7,0.0
Airi,1,1,0,1.0
Jan-Ewert,3,0,3,0.0
Carl-Evert,5,0,5,0.0
Sigrún,2,2,0,1.0
Ulla-Liza,12,12,0,1.0
Zimon,1,0,1,0.0
Janneke,1,1,0,1.0
Kiberom,2,0,2,0.0
Seydi,4,4,0,1.0
Theresa,7,7,0,1.0
Bil,1,0,1,0.0
Mamadou,4,0,4,0.0
Lee,2,0,2,0.0
Thure,19,0,19,0.0
Else-Maj,4,4,0,1.0
Rougel,1,0,1,0.0
Leif-Ove,2,0,2,0.0
Anna-Carin,62,62,0,1.0
Ingert,1,1,0,1.0
Fadil,1,0,1,0.0
Hag,8,0,8,0.0
Mats-Ove,3,0,3,0.0
Bror-Willy,1,0,1,0.0
Talia,3,3,0,1.0
Gull-May,4,4,0,1.0
Nils-Inge,11,0,11,0.0
Katerina,5,5,0,1.0
Dardan,1,0,1,0.0
Gazali,6,6,0,1.0
Lollo,13,13,0,1.0
Boriana,2,2,0,1.0
Vangelis,2,0,2,0.0
Roberth,19,0,19,0.0
Juhani,12,0,12,0.0
Kekke,2,0,2,0.0
Estrid,3,3,0,1.0
Ed,8,0,8,0.0
Pälla,8,8,0,1.0
Abir,11,11,0,1.0
Sassi,6,0,6,0.0
Vladimir,4,0,4,0.0
Soudabeh,2,2,0,1.0
Anina,3,3,0,1.0
May-Lis,1,1,0,1.0
Kjell-Evert,6,0,6,0.0
Shamm,1,1,0,1.0
Stevan,4,0,4,0.0
Kristina,829,829,0,1.0
Ridha,2,0,2,0.0
Mileva,6,6,0,1.0
Osborne,10,0,10,0.0
Tapio,2,0,2,0.0
Mary,71,71,0,1.0
Martina,118,118,0,1.0
Assar,19,0,19,0.0
AnnSofi,3,3,0,1.0
Emma-Lou,2,2,0,1.0
Faradj,2,0,2,0.0
Mbuche,6,6,0,1.0
Elvis,1,0,1,0.0
Pernille,2,2,0,1.0
Aloys,1,0,1,0.0
Lena-Mari,5,5,0,1.0
Larsgunnar,1,0,1,0.0
Hans-Elof,1,0,1,0.0
Soledad,5,5,0,1.0
Marianné,2,2,0,1.0
Maj-Stin,8,8,0,1.0
Adelina,11,11,0,1.0
Eleonor,26,26,0,1.0
Daniela,5,5,0,1.0
Adele,8,8,0,1.0
Tora,3,3,0,1.0
Agnetha,116,116,0,1.0
P,1,0,1,0.0
Lars-Inge,26,0,26,0.0
Raimo,12,0,12,0.0
Fernando,7,0,7,0.0
Chekol,1,0,1,0.0
Jård,1,0,1,0.0
Arion,2,0,2,0.0
Hanh,4,4,0,1.0
Birger,199,0,199,0.0
Mursal,6,0,6,0.0
Ewa-Lena,3,3,0,1.0
Birgitta,1794,1794,0,1.0
Michelle,18,18,0,1.0
Vanesa,12,12,0,1.0
Ann-Charlott,25,25,0,1.0
Claudette,2,2,0,1.0
Stanley,11,0,11,0.0
Lars-Åke,153,0,153,0.0
Ensio,1,0,1,0.0
Leopold,1,0,1,0.0
Erling,61,0,61,0.0
Maivor,4,4,0,1.0
Nazim,1,0,1,0.0
Curt-Gösta,2,0,2,0.0
Gerdt,2,0,2,0.0
Justinian,12,0,12,0.0
Ditte,2,2,0,1.0
Oldrich,3,0,3,0.0
S.,1,0,1,0.0
Münibe,2,2,0,1.0
Karen,12,12,0,1.0
Anethe,3,3,0,1.0
Yorge,1,0,1,0.0
Borislav,39,0,39,0.0
Xhilda,12,12,0,1.0
Sofia-Maria,2,2,0,1.0
Helmuth,23,0,23,0.0
Sanije,2,2,0,1.0
Sten-Axel,3,0,3,0.0
Remco,1,0,1,0.0
Kjell-Ove,1,0,1,0.0
Dagny,13,13,0,1.0
Cornelia,24,24,0,1.0
Sven-Arne,13,0,13,0.0
Toran,4,0,4,0.0
Eilert,17,0,17,0.0
Terttu,6,6,0,1.0
Anna-Linda,1,1,0,1.0
Kevin,1,0,1,0.0
Jonathan,198,0,198,0.0
Mejke,24,24,0,1.0
Maie,2,2,0,1.0
Poul,8,0,8,0.0
Tove-Liv,1,1,0,1.0
Ilmar,2,0,2,0.0
Jasenka,2,2,0,1.0
Hannu,16,0,16,0.0
Aila,16,16,0,1.0
Kathleen,1,1,0,1.0
Celia,18,18,0,1.0
Emily,4,4,0,1.0
Dagobert,1,0,1,0.0
Herrmy,4,4,0,1.0
Lorna,7,7,0,1.0
Wajdi,1,0,1,0.0
Ilvana,4,4,0,1.0
Ola,438,0,438,0.0
Råsie,1,1,0,1.0
Lenny,1,0,1,0.0
Magdalene,2,2,0,1.0
Xamuel,2,0,2,0.0
Alazar,6,0,6,0.0
Iver,1,0,1,0.0
Georgiy,8,0,8,0.0
RoseMarie,2,2,0,1.0
Pauliina,2,2,0,1.0
Per-Henrik,1,0,1,0.0
Nezir,1,0,1,0.0
Ghenet,6,6,0,1.0
Minka,7,7,0,1.0
Kenth,91,0,91,0.0
Månika,1,1,0,1.0
Rune,373,0,373,0.0
Regina,52,52,0,1.0
Viola,27,27,0,1.0
Carl-Erik,31,0,31,0.0
Nea,4,4,0,1.0
Moritz,1,0,1,0.0
Siw,116,116,0,1.0
Eva-Carin,1,1,0,1.0
EvaMargareta,12,12,0,1.0
László,3,0,3,0.0
Lisanne,21,21,0,1.0
Hjalle,1,0,1,0.0
Ilona,14,14,0,1.0
Rose,34,34,0,1.0
Adriaan,3,0,3,0.0
Mirwais,2,0,2,0.0
Jens-Jonathan,1,0,1,0.0
Anne-Maj,11,11,0,1.0
Sascha,8,8,0,1.0
Lena-Maj,37,37,0,1.0
Bo-Åke,1,0,1,0.0
Dave,1,0,1,0.0
Bob,46,0,46,0.0
Dumitru,1,0,1,0.0
Maryam,5,5,0,1.0
Penahi,2,0,2,0.0
Awatf,1,1,0,1.0
Bengta,1,1,0,1.0
Muzaffer,4,0,4,0.0
Bahrije,2,2,0,1.0
Haiko,2,0,2,0.0
Amer,9,0,9,0.0
Gert,209,0,209,0.0
Anna-Lisa,33,33,0,1.0
Sores,3,0,3,0.0
Anne-Margrete,1,1,0,1.0
Tycho,1,0,1,0.0
Roman,2,0,2,0.0
Väinö,3,0,3,0.0
Heinrich,6,0,6,0.0
Hans-Bertil,9,0,9,0.0
Rutger,33,0,33,0.0
Inga-Märta,21,21,0,1.0
Shiva,2,2,0,1.0
Virginie,8,8,0,1.0
Maritta,5,5,0,1.0
Carl-Otto,7,0,7,0.0
Gert-Ingvar,1,0,1,0.0
Betty-Ann,4,4,0,1.0
Maarit,5,5,0,1.0
Alejandro,6,0,6,0.0
Cathrine,35,35,0,1.0
Gunaino,1,1,0,1.0
Anna-Maja,1,1,0,1.0
Aoni,9,0,9,0.0
Abshir,11,0,11,0.0
Jannica,2,2,0,1.0
Stig-Göran,8,0,8,0.0
Ingalill,78,78,0,1.0
Lana,6,6,0,1.0
Beat,3,0,3,0.0
Britt-Lis,10,10,0,1.0
Fahad,12,0,12,0.0
Linnda,2,2,0,1.0
Helena-Ilona,2,2,0,1.0
Josef,181,0,181,0.0
Bengt-Göte,2,0,2,0.0
Peggy,1,1,0,1.0
Katriina,14,14,0,1.0
Semir,2,0,2,0.0
Christin,31,31,0,1.0
Beth,10,10,0,1.0
Tanja,29,29,0,1.0
Christiane,16,16,0,1.0
Penilla,8,8,0,1.0
Suzan,11,11,0,1.0
Dinore,1,1,0,1.0
Nore,2,0,2,0.0
Ulla-Lena,1,1,0,1.0
Sixten,25,0,25,0.0
Gull-Maj,7,7,0,1.0
Liang,4,0,4,0.0
Catti,1,1,0,1.0
Souheil,2,0,2,0.0
Sievert,5,0,5,0.0
Subani,2,2,0,1.0
Tomy,6,0,6,0.0
Dahmane,5,5,0,1.0
Juval,1,0,1,0.0
AnnaTora,3,3,0,1.0
Barbara,77,77,0,1.0
Tahar,3,0,3,0.0
Thale-Marie,3,3,0,1.0
Anna-Malin,3,3,0,1.0
Bernt,393,0,393,0.0
Mohamoud,7,0,7,0.0
Efwa,1,1,0,1.0
Boel,38,38,0,1.0
Jan-Ove,32,0,32,0.0
Louise,221,221,0,1.0
Hugh,1,0,1,0.0
Lisbet,8,8,0,1.0
Kjell-Roland,1,0,1,0.0
Agneta,686,686,0,1.0
Polina,1,1,0,1.0
Kent-Erik,1,0,1,0.0
Sigvald,1,0,1,0.0
Heikki,11,0,11,0.0
Pehr-Ove,1,0,1,0.0
Ingeman,2,0,2,0.0
Bo-Ingemar,1,0,1,0.0
Lilly,6,6,0,1.0
Soraia,1,1,0,1.0
Ragda,2,2,0,1.0
Manassés,1,0,1,0.0
Annmarie,2,2,0,1.0
Tünde,12,12,0,1.0
Halbast,1,0,1,0.0
Gladys,14,14,0,1.0
Najat,4,4,0,1.0
Csaba,8,0,8,0.0
Aydan,2,2,0,1.0
Shukrije,7,7,0,1.0
Kikki,5,5,0,1.0
Jonas,1256,0,1256,0.0
Sevda,1,1,0,1.0
Stig-Arne,45,0,45,0.0
IngMarie,12,12,0,1.0
Karl-Evert,3,0,3,0.0
Franco,8,0,8,0.0
Sverrir,2,0,2,0.0
Zobéir,5,0,5,0.0
Ann-Louice,1,1,0,1.0
Samira,7,7,0,1.0
Catharina,228,228,0,1.0
Zafar,2,0,2,0.0
Khalida,14,14,0,1.0
Pär-Olov,2,0,2,0.0
Nils,529,0,529,0.0
Cke,37,37,0,1.0
Hans-Jörgen,4,0,4,0.0
Sasa,2,0,2,0.0
Frishta,1,1,0,1.0
Aihry,5,5,0,1.0
Karan,2,0,2,0.0
Pia-Lena,2,2,0,1.0
David,495,0,495,0.0
Lars-Rune,2,0,2,0.0
Ali,139,1,138,0.007194244604316547
Nancée,1,1,0,1.0
Niclas,336,0,336,0.0
Mecide,2,2,0,1.0
Karsten,2,0,2,0.0
MajLis,1,1,0,1.0
Ann-Renée,6,6,0,1.0
Julita,1,1,0,1.0
Carl-Göran,10,0,10,0.0
Zaki,10,0,10,0.0
Majsan,8,8,0,1.0
Hjalmar,15,0,15,0.0
Lloyd,6,0,6,0.0
Azin,2,2,0,1.0
Beryl,17,17,0,1.0
Gulshan,1,1,0,1.0
Håkan,1075,0,1075,0.0
Oddbjörn,1,0,1,0.0
Denny,8,0,8,0.0
Lia,3,3,0,1.0
Roxanna,4,4,0,1.0
Lars-Evert,8,0,8,0.0
Solbritt,26,26,0,1.0
Shaniaz,2,2,0,1.0
Kinora,2,2,0,1.0
Harriette,1,1,0,1.0
Belkis,2,2,0,1.0
Gemma,2,2,0,1.0
Mendo,4,0,4,0.0
Alecsandra,1,1,0,1.0
Israel,2,0,2,0.0
Viveka,25,25,0,1.0
Mexhide,1,1,0,1.0
Rose-Mari,10,10,0,1.0
Stephen,35,0,35,0.0
Norman,1,0,1,0.0
Melchora,1,1,0,1.0
Lassä,1,0,1,0.0
Laszlo,91,0,91,0.0
Shiro,1,0,1,0.0
Mervi,15,15,0,1.0
Cennedy,1,0,1,0.0
Adelie,12,12,0,1.0
AnnaCarin,5,5,0,1.0
Saveta,3,3,0,1.0
Gunnemar,2,0,2,0.0
Carl-Gustav,16,0,16,0.0
Akram,16,2,14,0.125
Muhamed,2,0,2,0.0
Frank-Otto,7,0,7,0.0
Ann-Mari,51,51,0,1.0
Aqil,2,0,2,0.0
Hosein,1,0,1,0.0
Inga-Lill,206,206,0,1.0
Maj-Lise,1,1,0,1.0
Busi,9,9,0,1.0
Jennie,90,90,0,1.0
Morad,4,0,4,0.0
Hamza,5,0,5,0.0
Nikta,6,6,0,1.0
Janne,139,0,139,0.0
Lacka,1,0,1,0.0
Knut-Magnus,1,0,1,0.0
Katryn,1,1,0,1.0
Emin,1,0,1,0.0
Mai-Kathe,3,3,0,1.0
Toralf,2,0,2,0.0
Stig-Gunnar,1,0,1,0.0
Iris,46,46,0,1.0
Mariamne,2,2,0,1.0
Bruce,72,0,72,0.0
Gunde,1,0,1,0.0
Magne,12,0,12,0.0
Duv,2,0,2,0.0
Lars-Martin,1,0,1,0.0
Karoline,14,14,0,1.0
Gerd,200,200,0,1.0
Alva,1,1,0,1.0
Torun,41,41,0,1.0
Wiveca,5,5,0,1.0
Hans-Joachim,1,0,1,0.0
Angelique,16,16,0,1.0
Anna-Charlotte,2,2,0,1.0
Minette,3,3,0,1.0
Deshira,2,2,0,1.0
Nuno,1,0,1,0.0
Sükrü,4,0,4,0.0
Cäthrin,1,1,0,1.0
Inka,1,1,0,1.0
Saed,1,0,1,0.0
Tuma,3,0,3,0.0
Edla,1,1,0,1.0
Nils-Ove,3,0,3,0.0
Jari,38,0,38,0.0
Nikolina,12,12,0,1.0
Anna-Lena,200,200,0,1.0
Raoul,2,0,2,0.0
Jan-Olof,215,0,215,0.0
Kajsa-Lena,16,16,0,1.0
Arawn,2,2,0,1.0
Nils-Arvid,1,0,1,0.0
Trång,1,0,1,0.0
Ameer,8,0,8,0.0
